Student_ID,Index,Timestamp,SSLC,HSC,CGPA,School_Type,No_of_Miniprojects,No_of_Projects,Coresub_Skill,Aptitude_Skill,Problemsolving_Skill,Programming_Skill,Abstractthink_Skill,Design_Skill,First_Computer,First_Program,Lab_Programs,DS_Coding,Technology_Used,Sympos_Attend,Sympos_Won,Extracurricular,Learning_Style,College_Bench,Clg_Teachers_Know,College_Performence,College_Skills,Role,Prediction
5,0,1713799630.5412467,3,4,4,3,3,2,2,1,1,2,2,3,4,4,5,5,2,3,1,2,3,3,4,5,5,,Software Developer
5,0,1713799630.541247,3,4,4,3,3,2,2,1,1,2,2,3,4,4,5,5,2,3,1,2,3,3,4,5,5,,Software Developer
5,1,1713799900.27563,3,3,4,4,2,2,1,1,2,3,4,4,5,1,2,3,4,4,5,1,2,3,4,5,5,,Web Developer
5,0,1713799630.541247,3,4,4,3,3,2,2,1,1,2,2,3,4,4,5,5,2,3,1,2,3,3,4,5,5,,Software Developer
5,0,1713799630.541247,3,4,4,3,3,2,2,1,1,2,2,3,4,4,5,5,2,3,1,2,3,3,4,5,5,,Software Developer
5,1,1713799900.27563,3,3,4,4,2,2,1,1,2,3,4,4,5,1,2,3,4,4,5,1,2,3,4,5,5,,Web Developer
5,0,1713799630.541247,3,4,4,3,3,2,2,1,1,2,2,3,4,4,5,5,2,3,1,2,3,3,4,5,5,,Software Developer
5,0,1713799630.541247,3,4,4,3,3,2,2,1,1,2,2,3,4,4,5,5,2,3,1,2,3,3,4,5,5,,Software Developer
5,1,1713799900.27563,3,3,4,4,2,2,1,1,2,3,4,4,5,1,2,3,4,4,5,1,2,3,4,5,5,,Web Developer
5,0,1713799630.541247,3,4,4,3,3,2,2,1,1,2,2,3,4,4,5,5,2,3,1,2,3,3,4,5,5,,Software Developer
5,0,1713799630.541247,3,4,4,3,3,2,2,1,1,2,2,3,4,4,5,5,2,3,1,2,3,3,4,5,5,,Software Developer
5,1,1713799900.27563,3,3,4,4,2,2,1,1,2,3,4,4,5,1,2,3,4,4,5,1,2,3,4,5,5,,Web Developer
5,6,1715044480.8487308,1,2,3,3,4,5,2,3,3,1,2,3,3,4,4,2,3,3,4,4,3,2,2,4,4,,Software Developer
5,1715630287.6921008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
5,1715630417.5735345,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
5,1715630443.006058,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
5,1715630443.2005985,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
5,1715630443.5034707,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
5,1715630443.663399,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
5,1715630443.9322152,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
5,1715630444.0777137,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
